Código ;Ação;Tipo;Qtde. Teórica;Part. (%)
TAEE11;TAESA;UNT N2;218.568.274;0,271
TASA4;TAURUS ARMAS;PN N2;41.237.496;0,027
TCSA3;TECNISA;ON NM;54.494.584;0,019
TEND3;TENDA;ON NM;96.408.761;0,1
TGMA3;TEGMA;ON NM;32.001.480;0,032
TIET11;AES TIETE E;UNT N2;301.873.417;0,185
TIMS3;TIM;ON NM;808.485.985;0,418
TOTS3;TOTVS;ON NM;480.228.410;0,477
TRIS3;TRISUL;ON NM;78.643.944;0,032
TRPL4;TRAN PAULIST;PN N1;395.797.044;0,408
TUPY3;TUPY;ON NM;66.821.197;0,058
UGPA3;ULTRAPAR;ON NM;1.087.056.490;0,965
UNIP6;UNIPAR;PNB;43.997.898;0,089
USIM5;USIMINAS;PNA N1;513.729.947;0,305
VALE3;VALE;ON NM;5.128.642.481;18,508
VIVA3;VIVARA S.A.;ON EJ NM;93.368.726;0,093
VIVT3;TELEF BRASIL;ON EDJ;444.219.852;0,754
VLID3;VALID;ON NM;68.358.698;0,023
VULC3;VULCABRAS;ON NM;74.685.291;0,022
VVAR3;VIAVAREJO;ON ATZ NM;1.595.083.594;0,934
WEGE3;WEG;ON NM;741.148.001;2,281
WIZS3;WIZ S.A.;ON NM;77.453.769;0,022
YDUQ3;YDUQS PART;ON NM;300.483.575;0,374
